id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order
population,인구 & 기반시설,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,조잡한 궤도 거주지부터 거대 도시까지 거주민들이 살아가는데 필요한 기본적인 기반시설입니다.,100
farming,농업,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"농업은 문명 자체만큼이나 오랜 역사를 지닌 기술과 산업입니다. 수천년에 걸쳐, 인류는 자연적이거나 개량되었거나 인공적인 작물들을 통해 스스로를 유지해 왔습니다. 지금까지 그랬던 것처럼, 인간이 인간으로 남아있는 한 계속해서 그리할 것입니다.",200
aquaculture,수경 재배,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"바다 행성에서의 농업은 적절한 맞춤형 작물을 만드는 데 상당한 투자를 필요로 하지만, 일단 기반이 갖춰진 뒤에는 특화된 훈련이나 장비 없이도 수초 농장과 생선 양식장을 운영할 수 있습니다.",210
mining,광산,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"금속과 준금속, 유기물 그리고 기체 화합물을 채굴하기 위해서는 중장비와 특별한 시설 그리고 숙련된 인부가 필요합니다. 이 고된 작업에 나서는 것은 주로 특정한 류의 인간 군상으로, 관리자들이 여러 가지를 눈감아주지 않는다면 인력난에 시달릴 수도 있습니다.",300
techmining,기술 발굴,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"기술 발굴은 도메인 시기 유적에서 유용한 유물들을 회수하는 데 관련된 잡다한 기술들입니다. 특이한 위험들에 대응하기 위한 특별 도구들과, 좋은 물건들을 많이 찾을 수 있는 장소를 가려내는 전문가의 눈이 필요합니다. 발굴 작업에 오래 종사한 이들은 대체로 괴팍하며, 행운의 부적을 들고 다니고 저마다의 고유한 의식을 치르기 전에는 작업을 하려 들지 않습니다.",400
refining,제련소,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,광물과 방사성 광물을 제련하는 용광로입니다. 대부분의 위험한 작업은 원격 조종되는 로봇을 통해 이뤄집니다.,500
spaceport,우주항구,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,화물을 하역하고 기본적인 우주선 수리를 할 수 있는 시설입니다. 우주항구가 없는 식민지는 성간 교역에 참여할 수 없습니다.,150
megaport,거대 우주항구,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"거대한 우주 항구는 별과 땅이 맞닿는 곳입니다. 열을 맞춰 늘어선 착륙정 지지대와 강화된 연료 탱크들이 통로와 단거리 화물 트램 노선으로 엮여 거대한 창고 구획과 물류 터미널로 이어집니다. 이 모든 시설들은 식민지의 접근성을 크게 높입니다.",151
lightindustry,경공업,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,소비재와 사치품을 생산하는 산업 단지입니다. 높은 수준의 기술이 요구되지 않아 대붕괴의 영향을 받지 않은 소수의 산업중의 하나입니다.,1400
heavyindustry,중공업,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"중공업 장비, 보급품과 무기를 생산하기 위한 중앙화된 제조 기반시설입니다. 간신히 우주여행이 가능한 수준의 선박을 건조할 수 있습니다. 나노포지를 설치하여 제품 품질을 향상할 수 있습니다.",1600
orbitalworks,궤도 공업,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"중공업 장비, 보급품과 무기를 생산하기 위한 중앙화된 제조 기반시설입니다. 간신히 우주여행이 가능한 수준의 선박을 건조할 수 있습니다. 나노포지를 설치하여 제품 품질을 향상할 수 있습니다.

선박 건조를 위한 궤도 시설이 추가되어 결함 발생이 줄어들었습니다.",1700
fuelprod,연료 생산,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,이 시설은 성간 문명에 필수적인 우주선의 연료를 생산합니다. 도메인의 기술이 적용되지 않으면 연료 생산은 느리고 생산성도 낮습니다.,1800
